316,AY-0313,,NODO,2,192.168.0.1,,,NODO,1
57,AY-0325,,NODO,2,192.168.0.1,,,NODO,1
159,AY-0328,,NODO,2,192.168.0.1,,,NODO,1
67,AY-0330,,NODO,2,192.168.0.1,,,NODO,1
213,AY-0331,,NODO,2,192.168.0.1,,,NODO,1
249,AY-0332,,NODO,2,192.168.0.1,,,NODO,1
47,AY-0335,,NODO,2,192.168.0.1,,,NODO,1
319,AY-0338,,NODO,2,192.168.0.1,,,NODO,1
114,AY-0339,,NODO,2,192.168.0.1,,,NODO,1
289,AY-0347,,NODO,2,192.168.0.1,,,NODO,1
343,AY-0354,,NODO,2,192.168.0.1,,,NODO,1
74,AY-0355,,NODO,2,192.168.0.1,,,NODO,1
138,AY-0356,,NODO,2,192.168.0.1,,,NODO,1
366,AY-0357,,NODO,2,192.168.0.1,,,NODO,1
356,AYA-CARHUANC-DI-SASXP-01,AY-0004,NW-ROUTER,1,10.20.1.226,NOKIA,Networking,ELEMENTO,2
8,AYA-ACOCRO-DI-SASXP-01,AY-0005,NW-ROUTER,1,10.20.1.42,NOKIA,Networking,ELEMENTO,2
259,AYA-SANCRIST-DI-SASXP-01,AY-0007,NW-ROUTER,1,10.20.1.112,NOKIA,Networking,ELEMENTO,2
363,AYA-SAURAMA-DI-SASXP-01,AY-0008,NW-ROUTER,1,10.20.1.228,NOKIA,Networking,ELEMENTO,2
353,AYA-ACCOMARC-DI-SASXP-01,AY-0010,NW-ROUTER,1,10.20.1.230,NOKIA,Networking,ELEMENTO,2
20,AYA-ACOSVINC-DI-SASXP-01,AY-0011,NW-ROUTER,1,10.20.1.44,NOKIA,Networking,ELEMENTO,2
242,AYA-ANDAMARC-DI-SASXP-01,AY-0012,NW-ROUTER,1,10.20.1.114,NOKIA,Networking,ELEMENTO,2
280,AYA-ANISO-DI-SASXP-01,AY-0013,NW-ROUTER,1,10.20.1.152,NOKIA,Networking,ELEMENTO,2
325,AYA-APONGO-DI-SASXP-01,AY-0015,NW-ROUTER,1,10.20.1.204,NOKIA,Networking,ELEMENTO,2
326,AYA-ASQUIPAT-DI-SASXP-01,AY-0020,NW-ROUTER,1,10.20.1.206,NOKIA,Networking,ELEMENTO,2
238,AYA-AUCARA-DI-SASXP-01,AY-0023,NW-ROUTER,1,10.20.1.116,NOKIA,Networking,ELEMENTO,2
321,AYA-ALCAMENC-DI-SASXP-01,AY-0024,NW-ROUTER,1,10.20.1.208,NOKIA,Networking,ELEMENTO,2
304,AYA-BELEN-DI-SASXP-01,AY-0032,NW-ROUTER,1,10.20.1.184,NOKIA,Networking,ELEMENTO,2
240,AYA-CABANA-DI-SASXP-01,AY-0035,NW-ROUTER,1,10.20.1.118,NOKIA,Networking,ELEMENTO,2
329,AYA-CANARIA-DI-SASXP-01,AY-0037,NW-ROUTER,1,10.20.1.210,NOKIA,Networking,ELEMENTO,2
168,AYA-CANAYRE-DI-SASXP-01,AY-0038,NW-ROUTER,1,10.20.1.78,NOKIA,Networking,ELEMENTO,2
121,AYA-CARAPO-DI-SASXP-01,AY-0044,NW-ROUTER,1,10.20.1.72,NOKIA,Networking,ELEMENTO,2
24,AYA-CARMENAL-DI-SASXP-01,AY-0049,NW-ROUTER,1,10.20.1.46,NOKIA,Networking,ELEMENTO,2
180,AYA-ANCHIHUA-DI-SASXP-01,AY-0063,NW-ROUTER,1,10.20.1.94,NOKIA,Networking,ELEMENTO,2
243,AYA-CHAVINA-DI-SASXP-01,AY-0068,NW-ROUTER,1,10.20.1.120,NOKIA,Networking,ELEMENTO,2
196,AYA-CHILCAS-DI-SASXP-01,AY-0073,NW-ROUTER,1,10.20.1.96,NOKIA,Networking,ELEMENTO,2
306,AYA-CHILCAYO-DI-SASXP-01,AY-0074,NW-ROUTER,1,10.20.1.186,NOKIA,Networking,ELEMENTO,2
244,AYA-CHIPAO-DI-SASXP-01,AY-0076,NW-ROUTER,1,10.20.1.122,NOKIA,Networking,ELEMENTO,2
275,AYA-CHUMPI-DI-SASXP-01,AY-0081,NW-ROUTER,1,10.20.1.154,NOKIA,Networking,ELEMENTO,2
199,AYA-CHUNGUI-DI-SASXP-01,AY-0082,NW-ROUTER,1,10.20.1.98,NOKIA,Networking,ELEMENTO,2
292,AYA-COLTA-DI-SASXP-01,AY-0091,NW-ROUTER,1,10.20.1.166,NOKIA,Networking,ELEMENTO,2
357,AYA-CONCEPCI-DI-SASXP-01,AY-0095,NW-ROUTER,1,10.20.1.232,NOKIA,Networking,ELEMENTO,2
293,AYA-CORCULLA-DI-SASXP-01,AY-0101,NW-ROUTER,1,10.20.1.168,NOKIA,Networking,ELEMENTO,2
307,AYA-HUACANA-DI-SASXP-01,AY-0109,NW-ROUTER,1,10.20.1.188,NOKIA,Networking,ELEMENTO,2
331,AYA-CAYARA-DI-SASXP-01,AY-0111,NW-ROUTER,1,10.20.1.212,NOKIA,Networking,ELEMENTO,2
