"41","351","HC-0017","HC-0017-IE01","31030","CPE","10.110.1.63","CAMBIUM",\N,\N,"0907200001","24",\N,\N,"CAMBIUM"
"42","351","HC-0017","HC-0017-IE02","CARLOS AUGUSTO SALAVERRY","CPE","10.110.1.64","CAMBIUM",\N,\N,"0907200001","24",\N,\N,"CAMBIUM"
"43","351","HC-0017","HC-0017 dir HC-0256",\N,"NODO","","SIAE",\N,\N,"0907200001","24",\N,\N,"SIAE"
"44","112","HC-0018","HC-0018-CS01","ANTA","CPE","10.110.8.18","CAMBIUM",\N,\N,"0902030001","24",\N,\N,"CAMBIUM"
"45","112","HC-0018","HC-0018-IE01","36159","CPE","10.110.0.36","CAMBIUM",\N,\N,"0902030001","24",\N,\N,"CAMBIUM"
"46","112","HC-0018","HC-0018-IE02","CIRO ALEGRIA BAZAN","CPE","10.110.0.37","CAMBIUM",\N,\N,"0902030001","24",\N,\N,"CAMBIUM"
"48","317","HC-0019","HC-0019-CS01","ANTA","CPE","10.110.8.182","CAMBIUM",\N,\N,"0907090046","24",\N,\N,"CAMBIUM"
"49","317","HC-0019","HC-0019-IE01","30955","CPE","10.110.1.65","CAMBIUM",\N,\N,"0907090046","24",\N,\N,"CAMBIUM"
"50","317","HC-0019","HC-0019-IE02","MANUEL COVEùAS NAQUICHE","CPE","10.110.1.66","CAMBIUM",\N,\N,"0907090046","24",\N,\N,"CAMBIUM"
"51","317","HC-0019","HC-0019 dir HC-0323",\N,"NODO","","SIAE",\N,\N,"0907090046","24",\N,\N,"SIAE"
"52","256","HC-0020","HC-0020-CS01","ANTACALLA","CPE","10.110.8.15","CAMBIUM",\N,\N,"0905110034","24",\N,\N,"CAMBIUM"
"53","256","HC-0020","HC-0020-IE01","31119 FEDERICO VILLARREAL","CPE","10.110.0.29","CAMBIUM",\N,\N,"0905110034","24",\N,\N,"CAMBIUM"
"54","256","HC-0020","HC-0020-IE02","JUAN VELASCO ALVARADO","CPE","10.110.0.30","CAMBIUM",\N,\N,"0905110034","24",\N,\N,"CAMBIUM"
"55","256","HC-0020","HC-0020 dir HC-0016",\N,"NODO","","SIAE",\N,\N,"0905110034","24",\N,\N,"SIAE"
"56","86","HC-0021","HC-0021-IE01","36336","CPE","10.110.0.56","CAMBIUM",\N,\N,"0901170062","24",\N,\N,"CAMBIUM"
"57","86","HC-0021","HC-0021 dir HC-0350",\N,"NODO","","CAMBIUM",\N,\N,"0901170062","24",\N,\N,"CAMBIUM"
"58","165","HC-0022","HC-0022-IE01","36496","CPE","10.110.0.186","CAMBIUM",\N,\N,"0903010050","24",\N,\N,"CAMBIUM"
"59","165","HC-0022","HC-0022 dir HC-0376",\N,"NODO","","SIAE",\N,\N,"0903010050","24",\N,\N,"SIAE"
"60","2","HC-0023","HC-0023-CS01","ANTACCOCHA","CPE","10.110.8.232","CAMBIUM",\N,\N,"0901010013","24",\N,\N,"CAMBIUM"
"61","2","HC-0023","HC-0023-IE01","36367","CPE","10.110.1.144","CAMBIUM",\N,\N,"0901010013","24",\N,\N,"CAMBIUM"
"62","2","HC-0023","HC-0023-IE02","SANTA ISABEL","CPE","10.110.1.145","CAMBIUM",\N,\N,"0901010013","24",\N,\N,"CAMBIUM"
"63","198","HC-0024","HC-0024-IE01","CESAR VALLEJO MENDOZA","CPE","10.110.0.38","CAMBIUM",\N,\N,"0903100001","24",\N,\N,"CAMBIUM"
"65","34","HC-0025","HC-0025-CS01","ANTAYMISA","CPE","10.110.8.233","CAMBIUM",\N,\N,"0901030079","24",\N,\N,"CAMBIUM"
"66","34","HC-0025","HC-0025 dir HC-0166",\N,"NODO","","CAMBIUM",\N,\N,"0901030079","24",\N,\N,"CAMBIUM"
"67","20","HC-0026","HC-0026-CS01","AùANCUSI","CPE","10.110.8.77","CAMBIUM",\N,\N,"0901030036","24",\N,\N,"CAMBIUM"
